SMILES,MOLREGNO,Sol_uM,Acidic_pKa,Basic_pKa,Charge_State
CCCSc1nc2ccc(NC(=O)CCNC(=O)N)cc2s1,1354772,93.30000000000003,13.65,1.14,neutral
CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,650126,93.30000000000003,12.49,8.81,basic
COc1cc(c(OC)cc1N)S(=O)(=O)N,963028,93.30000000000003,10.22,2.1,neutral
CN(C)CCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4cccnn34)cc1,514681,93.30000000000003,10.61,7.5,basic
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2c1,363080,93.30000000000003,11.53,9.26,basic
Cn1nc(cc1C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)C(C)(C)C,556955,93.30000000000003,11.67,1.83,neutral
Cc1ccc2[nH]ccc2c1c3nc(cc(n3)C4(CC4)S(=O)(=O)C)N5CCOCC5,1519901,95.50000000000003,16.32,2.32,neutral
CN([C@@H]1CCN(Cc2ccc(nc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,1331892,95.50000000000003,,5.99,neutral
CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(F)cc4,1520171,95.50000000000003,13.19,8.33,basic
CCC(CC)CNC(=O)c1ccc2c(c1)c(Cc3ccc(cc3OC)C(=O)NS(=O)(=O)c4ccccc4C)cn2C,31777,95.50000000000003,4.29,-0.74,acidic
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N6CCOCC6,424655,95.50000000000003,14.75,4.88,neutral
O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4nc(cs4)c5ccccc5,1361100,95.50000000000003,11.72,2.13,neutral
C(Sc1ncnc2[nH]cnc12)c3ccccc3,385672,95.50000000000003,9.91,2.54,neutral
Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3,17411,97.69999999999999,15.88,1.86,neutral
CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccccc4,1520170,97.69999999999999,13.33,8.33,basic
